日期,標題,網址
2020/08/26,Galaxy Note20系列今預購取機　佛心老闆凌晨12點排隊,https://www.ettoday.net//news/20200826/1793542.htm
2020/08/25,性能為5G的10到100倍　美國「跨越式發展」佈局6G,https://www.ettoday.net//news/20200825/1791766.htm
2020/08/25,搶先全球！三星Galaxy Z Fold 2實機評測影片提前曝光,https://www.ettoday.net//news/20200825/1793143.htm
2020/08/25,「樹冠屋」不夠看！　Apple 新門市「海灣燈籠」將於新加坡金沙酒店旁開幕,https://www.ettoday.net//news/20200825/1792955.htm
2020/08/25,120Hz螢幕iPhone可能延遲或取消！分析師曝本來不在計畫中,https://www.ettoday.net//news/20200825/1792994.htm
2020/08/25,5G裝置選擇再加一　realme X50 Pro手機27日電商買得到,https://www.ettoday.net//news/20200825/1792999.htm
2020/08/25,網哭了！Pixel 4a「超夯功能」被拿掉　Google證實：未來系列不再有,https://www.ettoday.net//news/20200825/1792947.htm
2020/08/25,影∕「他說很愛我」裸照被放上情色網站！受害女崩潰向摯友哭訴：想去死,https://www.ettoday.net//news/20200825/1792787.htm
2020/08/25,挑電視不要只看價格！專家：「品質、保固、售後服務」才是關鍵,https://www.ettoday.net//news/20200825/1782183.htm
2020/08/25,Spotify跨界電競　推《英雄聯盟》官方合作,https://www.ettoday.net//news/20200825/1792854.htm
2020/08/25,中華電5G虛擬演唱會再一發　KKBOX多位人氣歌手8/28開唱,https://www.ettoday.net//news/20200825/1792821.htm
2020/08/25,緯創、富士康產線部署印度、越南！蘋果證實：iPhone SE2正在印度組裝,https://www.ettoday.net//news/20200825/1792709.htm
2020/08/25,蘋果股價飆！CEO庫克再獲逾83億元獎勵　上週捐贈近1.5億元做公益,https://www.ettoday.net//news/20200825/1792745.htm
2020/08/25,蘋果收購VR新創公司　強化朝AR、VR領域邁進的野心,https://www.ettoday.net//news/20200825/1792643.htm
2020/08/25,Google雲端硬碟爆資安漏洞　備份檔案被調包成惡意軟體,https://www.ettoday.net//news/20200825/1792703.htm
