名稱,縮寫,訂閱數,創立日期,本月文章數
偽娘,otokonoko,10769,2020/2/4,42
樂高,lego,10768,2020/2/4,26
大型賽事,sportsevents,10747,2020/2/4,9
卡娜赫拉,kanahei,10550,2020/2/4,21
會計,accounting,10515,2020/2/4,81
智慧家庭,smart_home,10380,2020/2/4,8
前端工程師,f2e,10318,2020/2/4,17
小事公益,smallgoodthings,10137,2020/2/4,37
靜宜大學,pu,10044,2016/5/21,315
港澳感情事,hkmacrelationship,9996,2018/12/28,357
國立高雄科技大學,nkust,9937,2018/3/26,109
法律人,lawyer,9777,2020/4/20,200
科技業,tech_job,9744,2020/4/20,59
中科大,nutc,9725,2016/5/20,176
畢業季,graduate,9643,2020/2/4,39
科學,science,9604,2020/2/4,15
中職,cpbl,9509,2020/2/4,76
港澳 u life,hkmaculife,9286,2018/12/28,220
曬狗,showdogs,9194,2020/3/24,63
港澳女生,hkmacgirl,9166,2018/12/28,135
創客,maker,9147,2020/2/4,16
嘉南藥理大學,cnu,9043,2016/5/22,126
羽球,badminton,8918,2020/2/4,30
台南應用科大,tut,8875,2016/5/22,137
芳療,aromatherapy,8873,2020/2/4,4
國營,gov_owned,8715,2020/4/20,73
弘光科技大學,hk,8674,2016/5/22,110
中興大學,nchu,8657,2016/5/20,233
臺灣警察專科學校,tpa,8472,2017/5/16,104
跨性別,trans,8436,2020/2/4,30
歐洲生活,life_in_europe,8435,2020/2/24,16
義守大學,isu,8419,2016/5/20,194
Cosplay,cosplay,8180,2020/2/4,17
警察,police,8129,2020/4/20,75
傳說對決,aov,8121,2020/5/19,263
東吳大學,scu,8079,2016/5/20,229
屏科大,npust,8014,2016/5/22,217
自由工作者,free_lancer,7918,2020/4/20,14
僑生交流,hkmactwexchange,7907,2018/12/28,57
世新大學,shu,7906,2016/5/20,145
Nintendo Switch,switch,7715,2020/5/19,137
清華大學,nthu,7608,2016/5/19,265
虎尾科大,nfu,7423,2016/5/21,128
Minecraft,minecraft,7374,2020/2/4,13
中央大學,ncu,7235,2016/5/19,226
餐飲業,catering,7132,2020/4/20,28
亞洲大學,asia,7091,2016/5/22,160
足球,soccer,6982,2020/2/4,25
港澳西斯,hkmacsex,6945,2019/8/27,38
輔英科技大學,fy,6816,2016/5/22,178
Podcast,podcast,6813,2020/6/8,52
中正大學,ccu,6811,2016/5/20,164
文藻外語大學,wzu,6768,2016/5/21,134
交通運輸,transport,6673,2020/2/4,32
災害回報,disaster,6654,2020/2/4,13
高雄第一科大,nkfust,6550,2016/5/20,71
教師,teacher,6507,2020/4/20,107
交通大學,nctu,6462,2016/5/19,84
東華大學,ndhu,6440,2016/5/19,180
實踐大學,usc,6433,2016/5/20,144
師範大學,ntnu,6427,2016/5/19,146
崑山科大,ksu,6372,2016/7/5,89
勤益科大,ncut,6363,2016/5/21,132
高應大,kuas,6318,2016/5/21,35
致理科技大學,chihlee,6256,2016/5/22,117
國立雲林科技大學,yuntech,6232,2016/6/21,147
北科大,ntut,6164,2016/5/19,89
屏東大學,nptu,6133,2016/5/21,181
台科大,ntust,5977,2016/5/20,96
單車,cycling,5916,2020/2/4,22
嶺東科大,ltu,5878,2016/5/22,112
正修科大,csu,5854,2016/6/29,56
五週年紀念,5anniversary,5820,2016/5/18,0
長榮大學,cjcu,5747,2016/5/21,144
臺北大學,ntpu,5632,2016/5/20,303
高雄餐旅大學,nkuht,5626,2016/5/21,170
長庚大學,cgu,5541,2016/5/21,51
長庚科大,cgust,5431,2016/5/21,62
元智大學,yzu,5390,2016/5/20,186
明新科技大學,must,5370,2016/5/22,69
視聽設備,av_equipment,5365,2020/2/4,33
中華醫事科技大學,hwai,5318,2016/7/15,46
嘉義大學,ncyu,5309,2016/5/20,131
樹德科技大學,stu,5170,2016/5/22,75
中山大學,nsysu,5150,2016/5/20,288
鐵道,railway,5115,2020/2/4,23
中臺科大,ctust,5111,2016/7/5,55
港澳 FM 升學,hkfreshmen,5023,2019/5/13,1160
龍華科技大學,lhu,5014,2016/6/20,81
僑光科技大學,ocu,4959,2016/7/15,47
菱格世代 DD52,dd52,4900,2020/5/26,193
劇場,theater,4877,2020/2/4,19
高雄海洋科大,nkmu,4808,2016/5/21,37
海洋大學,ntou,4756,2016/5/20,109
宵夜文,latenightsnack,4742,2020/3/24,10
網球,tennis,4691,2020/2/4,12
中山醫學大學,csmu,4671,2016/5/21,120
樹人醫護管理專科學校,szmc,4634,2016/9/23,148
KKBOX 風雲榜,kkboxkma,4622,2020/2/4,1
中央警察大學,cpu,4578,2016/5/20,34
高雄醫學大學,kmu,4492,2016/5/22,101
保險業,insurance,4456,2020/4/20,53
楓之谷,maple_story,4382,2020/5/19,111
聯合大學,nuu,4362,2016/5/20,100
臺北商業大學,ntub,4338,2016/5/21,50
服務業,service,4261,2020/4/20,20
管樂,wind_band,4258,2020/2/4,12
中國醫藥大學,cmu,4254,2016/5/21,75
醒吾科技大學,hwu,4213,2016/7/15,26
彰化師範大學,ncue,4165,2016/5/19,185
中國科大,cute,4117,2016/5/22,78
大葉大學,dyu,4109,2016/5/22,50
德明財經科大,takming,3965,2016/5/23,62
乃木 46,nogizaka46,3920,2020/2/4,21
高雄大學,nuk,3896,2016/5/20,128
國北護,ntunhs,3744,2016/5/20,83
新生醫護管理專科學校,hsc,3737,2016/9/23,62
NBA,nba,3713,2020/7/30,139
健行科大,uch,3675,2016/5/22,33
宜蘭大學,niu,3671,2016/5/21,42
臺北城市科大,tpcu,3642,2016/8/18,25
臺南大學,nutn,3603,2016/5/22,171
PlayStation,playstation,3566,2020/5/19,57
身心障礙,disabled,3529,2020/2/4,38
暨南大學,ncnu,3471,2016/5/19,112
馬偕醫護管理專科學校,mkc,3446,2016/9/23,67
爬蟲,reptile,3400,2020/5/12,62
陰陽師,onmyoji,3313,2020/2/4,6
梗影,funny_video,3311,2020/6/9,27
房仲業,realtor,3295,2020/4/20,34
景文科大,just,3284,2016/5/23,35
金門大學,nqu,3272,2016/5/22,124
萬能科大,vnu,3258,2016/7/21,47
數學,math,3245,2020/5/14,73
桌球,table_tennis,3203,2020/2/4,10
PC Game,pc_game,3184,2020/5/19,94
戀與製作人,lovenproducer,3178,2020/5/19,31
臺灣藝術大學,ntua,3177,2016/5/20,22
時光膠囊,timecapsule,3173,2016/5/14,6
臺北醫學大學,tmu,3117,2016/5/21,85
南華大學,nhu,3064,2016/5/22,47
明志科大,mcut,3056,2016/5/22,64
臺北市立大學,utaipei,2938,2016/5/20,47
行車記錄器,dashcam,2913,2020/5/14,85
國立澎湖科技大學,npu,2907,2016/7/5,42
美和科大,meiho,2854,2016/7/28,21
AKB48 集團,akb48_group,2734,2020/2/4,6
元培醫事科大,ypu,2728,2016/8/4,23
臺中教育大學,ntcu,2711,2016/5/21,41
消防,I_I_IX,2709,2020/4/20,13
臺東大學,nttu,2681,2016/5/22,57
第五人格,identity_v,2680,2020/5/19,108
高雄師範大學,nknu,2673,2016/5/19,127
真理大學,au,2660,2016/5/22,108
大仁科大,tajen,2646,2016/8/4,24
布袋戲,palmar_drama,2606,2020/2/4,5
爐石戰記,hearthstone,2452,2020/2/4,4
建國科大,ctu,2365,2016/7/21,18
敏惠醫護管理專科學校,mhchcm,2364,2016/9/23,28
崇仁醫護管理專科學校,cjc,2357,2016/9/23,37
臺灣體育運動大學,ntupes,2345,2016/7/15,17
臺北藝術大學,tnua,2327,2016/5/20,30
慈濟科技大學,tcust,2288,2016/5/22,97
食物語,food_mover,2253,2020/5/19,25
慈濟大學,tcu,2218,2016/5/22,44
港澳 LGBT,hklgbt,2192,2019/4/25,34
仁德醫護管理專科學校,jente,2160,2016/9/23,29
新年快樂,happynewyear,2126,2020/2/4,1
中華大學,chu,2075,2016/5/22,24
亞東技術學院,oit,2058,2016/7/21,18
慈惠醫護管理專科學校,tzuhui,2042,2016/9/23,8
開南大學,knu,2021,2016/5/22,22
玄奘大學,hcu,2003,2016/8/11,32
遠東科大,feu,1984,2016/7/5,14
耕莘健康管理專科學校,ctcn,1977,2016/9/23,55
中華科大,cust,1954,2016/8/4,6
臺北教育大學,ntue,1953,2016/5/20,138
中華民國陸軍專科學校,aaroc,1880,2017/4/10,5
午夜實驗室,midnightlab,1842,2016/5/14,1
港澳煲劇,hkmovietv,1834,2019/4/25,22
康寧大學,ukn,1828,2016/7/28,14
國防醫學院,ndmctsgh,1805,2016/11/21,14
修平科大,hust,1776,2016/8/11,7
東南科大,tnu,1776,2016/7/28,4
大同大學,ttu,1770,2016/5/21,38
國立體育大學,ntsu,1767,2016/8/4,2
佛光大學,fgu,1755,2016/7/21,57
日本明星,japan_star,1733,2020/7/31,30
經國管理暨健康學院,cku,1712,2016/7/21,23
南開科大,nkut,1678,2016/7/28,7
港澳搞 GAG,hkgag,1674,2019/4/25,11
陽明大學,ym,1615,2016/5/20,6
育達科大,ydu,1573,2016/8/4,9
黎明技術學院,lit,1499,2016/8/18,10
麥可傑克森,mjj,1499,2020/2/4,1
聖約翰科大,sju,1465,2016/7/28,2
吳鳳科大,wfu,1436,2016/7/5,5
國立臺南護理專科學校,ntin,1405,2016/9/23,4
不能只有我看到,toofunny,1396,2020/3/24,2
育英醫護管理專科學校,yuhing,1366,2016/9/23,9
明道大學,mdu,1351,2016/7/28,5
國防大學,ndu,1304,2016/5/21,2
高苑科大,kyu,1280,2016/8/4,4
香港中文大學,cuhk,1224,2019/4/22,12
臺南藝術大學,tnnua,1190,2016/7/28,7
台北海洋科技大學,tumt,1163,2016/8/18,9
港澳二手物品交流,hkmacsec_hand,1073,2019/10/28,2
環球科技大學,twu,1069,2016/7/15,2
宏國德霖科技大學,dlit,1031,2016/8/18,2
香港理工大學,hkpu,980,2019/7/12,18
東方設計大學,tf,938,2016/8/25,2
華夏科大,hwh,926,2016/8/11,3
聖母醫護管理專科學校,smc,913,2016/9/23,2
馬偕醫學院,mmc,896,2016/8/18,2
香港大學,hku,888,2019/7/12,2
新竹教育大學,nhcue,888,2016/5/21,1
港澳工作,hkjob,887,2020/3/31,16
跑跑卡丁車,kart_rider,884,2020/7/31,13
華梵大學,hfu,834,2016/7/21,4
中州科大,ccut,791,2016/8/11,1
七大罪,7_deadly_sins,774,2020/5/19,4
台灣首府大學,tsu,760,2016/8/11,2
南亞技術學院,nanya,758,2016/8/18,4
崇右影藝科技大學,cit,751,2016/8/25,6
水晶礦石,crystal,735,2020/7/31,62
國立臺東專科學校,ntc,695,2018/7/9,12
Google/Android,google,650,2020/7/31,14
香港城市大學,cityu,607,2019/7/12,11
香港科技大學,hkust,586,2019/7/12,1
空軍航空技術學院,afats,559,2019/1/6,1
