中文名稱,英文名稱,期待度,滿意度,總分,上映時間
紅鞋公主與七矮人,Red Shoes and the Seven Dwarfs,71%,3.9,★★★☆☆,2020-01-30
杜立德,Dolittle,95%,3.8,★★★★★,2020-01-23
變身特務,Spies in Disguise,82%,4.1,★★★★☆,2020-01-22
巧虎電影：英雄遊樂園,HERO LAND,62%,3.4,★★★☆☆,2020-01-17
鬼船瑪麗號,Mary,86%,2.8,★★★☆☆,2019-10-18
海獸之子,Children of the sea,97%,4.1,★★★★★,2019-10-09
普羅米亞,Promare,64%,3.9,★★★☆☆,2019-08-16
AI終結戰,I am Mother,87%,3.7,★★★★☆,2019-06-28
鎖命危機,Door Lock,96%,3.7,★★★★★,2019-01-18
遊戲人生Zero,No Game No Life: Zero,87%,4.1,★★★★☆,2017-12-08
地下社會.,Underground,67%,4.0,★★★☆☆,2015-05-15
一首搖滾上月球,Rock Me To The Moon,89%,4.2,★★★★★,2013-10-04
錢不夠用2,Money No Enough II,78%,4.0,★★★★☆,2009-05-08
